job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9
Junior Manager Innovation Lab - France (M/F/D),51000,g,U1,1,0.62,0.02,0.1,0.08,0.42,0.82,0.15,0.45,0.64,0.59,0.37,0.04,0.55,0.32,0.26,0.89,0.98,NaN,0.63,0.1,0.87,0.39,0.37,NaN,0.85,0.96,0.93,0.24,0.97,0.27,0.17,0.81,0.68,0.96,0.86,0.67,0.31,0.61,0.18,0.29,0.43,0.59,0.9,0.74,0.03,0.21,0.23,0.81,0.95,0.8,0.15,0.71,0.75,0.35,0.34,0.81
Junior Product Manager -  Mobile,70000,b,U2,1,0.97,0.87,0.5,1,0.18,0.61,0.25,0.85,0.35,0.44,0.76,0.84,0.78,0.95,0.53,0.04,0.03,NaN,0.95,0.75,0.95,0.93,0.04,0.29,0.55,0.9,0.34,0.7,0.96,0.21,0.84,0.06,0.72,0.19,0.16,0.86,0.32,0.86,0.2,0.93,0.13,0.69,0.76,0.36,0.76,0.75,0.86,0.68,0.32,0.7,0.4,0.56,0.99,0.07,0.1,0.89
Junior Brand Marketing Manager - Mobile (M/F/D),59000,g,U3,1,0.24,0.55,0.52,0.4,0.64,NaN,0.18,0.4,0.86,0.2,0.34,0.56,0.53,0.54,0.43,0.67,0.31,NaN,0.1,0.82,0.08,0.23,0.12,NaN,0.1,0.04,0.28,0.38,0.91,0.34,0.94,0.5,NaN,0.79,0.01,0.98,0.4,0.15,0.9,0.39,0.75,0.66,0.26,0.13,0.71,0.68,0.61,0.49,0.26,0.65,0.76,0.98,0.26,0.51,0.98,0.62
 Product Analyst - Pricing & Forecasting (M/F/D),NA,d,U4,1,0,0.43,0.25,0.24,0.71,0.21,0.98,0.38,0.72,NaN,0.94,0.25,0.86,0.05,0.84,0.8,0.96,NaN,0.22,0.63,0.61,0.43,0.45,0.02,0.28,0.82,0.77,0.91,0.02,0.13,0.03,0.81,0.08,0.55,0.64,0.22,0.18,0.14,1,0.89,0.2,0.23,0.26,0.2,0.15,0.99,0.41,0.24,0.1,0.19,0.52,0.74,0.23,0.31,0.08,0.3
 Online Marketing Manager,64000,h,U5,1,0.84,0.48,0.76,0.45,0.52,0.81,0.29,0.48,0.55,0.6,0.57,0.42,0.17,0.48,0.42,0.88,0.72,NaN,0.02,0.48,0.22,0.41,0.63,NaN,0,0.69,0,0.9,0.61,0.68,0.51,0.16,0.79,0.87,0.49,0.85,0.1,NaN,0.85,0,0.49,0.14,0.71,0.51,0.3,0.29,0.61,0.77,0.35,0.93,0.72,0.12,0.09,0.58,0.09,0.61
 Marketing Analyst - New Ventures ,NA,g,U6,1,0.39,NaN,0.98,0.06,0.68,0.67,0.1,0.67,0.49,0.48,0.71,0.49,0.28,0.15,0.76,0.26,0.25,NaN,0.65,0.13,0.13,0.02,0.87,0.92,0.96,0.64,0.73,0.15,0.25,0.92,0.28,0.78,0.09,0.43,NaN,0.47,0.59,0.94,0.46,0.9,NaN,0.87,0.29,0.28,0.51,0.55,0.64,0.53,0.97,0.14,0.11,0.55,0.12,0.13,0.49,0.48
Junior Manager Innovation Lab - France (M/F/D),NA,e,U7,0,0.7,0.08,0.18,0.09,0.14,0.09,0.43,0.01,0.83,0.35,0.16,0.42,0.5,0.53,0.67,0.02,0.92,NaN,0.17,0.12,0.7,0.43,0.2,0.99,0.03,0.44,NaN,0.34,0.01,0.16,0.31,0.63,0.4,0.57,0.56,0.22,0.69,0.53,0.99,0.96,0.97,0.41,0.31,0.65,0.16,0.35,0.95,0.56,0.53,0.27,0.32,0.37,0.61,0.62,0.6,0.61
Lead Growth Hacker - New Ventures ,NA,c,U8,0,0.57,0.64,0.76,0.07,0.06,0.49,0.97,0.13,0.1,0.47,0.28,0.37,0.6,0.52,0.09,0.56,0.61,NaN,0.86,0.73,0.88,0.45,0.26,NaN,0.52,0.52,0.55,0.82,0.85,0.57,0.21,0.37,0.23,0.08,0.67,0.31,0.4,0.68,0.04,0.92,0.21,0.98,0.35,0.59,0.32,0.11,0.24,0.56,0.74,0.47,0.92,0.13,NaN,0.73,0.27,0.39
Senior Sustainability Manager,NA,d,U9,1,0.85,0.79,0.57,0.52,0.64,0.04,0.95,0.81,0.45,0.32,0.02,0.78,0.96,0.55,0.49,0.77,0.34,0.4,0.63,0.58,0.87,0.33,0.07,NaN,0.31,0.96,0.94,0.6,0.96,0.36,0.31,0.09,0.34,0.03,NaN,0.55,0.72,0.65,0.93,0.63,0.3,0.28,0.39,0.11,0.02,0.12,0.07,0.34,0.26,0.03,0.66,0.25,0.1,0.45,0.45,0.14
Lead Data Analyst - Pricing Team (m/f/d),NA,f,U10,0,0.77,0.63,0.29,0.97,0.26,0.09,0.57,0.4,0.4,0.34,0.5,0.2,0.17,0.28,1,0.88,0.03,0.22,1,1,0.51,0.76,0.02,NaN,0.79,0.98,0.99,0.8,0.12,0.46,0.08,0.76,NaN,0.5,0.64,NaN,0.89,0.17,0.35,0.1,0.43,0.35,0.96,0.64,0.03,0.04,0.75,0.36,0.61,0.42,0.73,0.59,0.86,0.24,0.73,0.41
Senior Product Owner - NLP,NA,g,U11,1,0.44,0.65,0.84,0.82,0.81,0.64,0.9,0.77,0.46,0.39,0.27,0.36,0.69,0.22,0.67,0.85,0.75,0.38,0.95,0.41,0.34,0.11,0.43,0.6,0.04,0.5,0.19,0.94,0.3,0.4,0.36,0.28,0.17,0.2,0.93,0.21,0.05,0.74,0.2,0.85,0.5,0.55,0.21,0.57,0.05,0.17,0.23,0.79,0.02,0.25,0.83,0.95,0.1,0.97,0.92,0.27
Lead Backend Engineer - Deep Learning,65000,c,U12,0,NaN,0.37,0.29,0.99,0,0.67,0.42,0.01,0.7,0.9,0.39,0.86,0.07,0.6,0.39,0.97,0.42,NaN,0.7,0.11,0.04,0.89,0.95,NaN,0.2,0.84,0.22,0.35,0.39,0.81,0.68,0.38,0.01,0.31,0.19,0.11,0.09,0.95,0.71,0.23,0.59,0.9,0.96,0.21,0.23,0.98,0.87,0.25,0.81,0.98,0.69,0.64,0.09,0.53,0.18,0.16
Junior UI Designer - (Remote),NA,c,U13,1,0.87,0.84,0.49,0.42,0.18,0.6,0.35,0.56,0.71,0.92,0.48,NaN,0.65,0.7,0.63,0.7,0.35,NaN,0.39,0.31,0.68,0.27,0.66,0.37,0.41,0.04,0.41,0.6,0.13,0.23,0.81,0.76,1,0.81,0.41,0.15,0.71,0.96,0.53,0.49,0.35,0.83,0.96,0.2,0.91,NaN,0.15,0.98,0.67,0.81,0.3,0.53,0.84,0.79,0.06,0.31
 Marketing Manager - (Remote) m/f/d,NA,f,U14,1,0.25,0.5,0.31,0.5,0.22,0.79,0.07,0.3,0.12,0.91,0.64,0.99,0.32,0.51,0.61,0.37,0.66,NaN,0.06,0.17,NaN,0.65,0.86,NaN,0.89,0.21,0.03,0.24,0.56,0.45,0.43,0.46,0.19,0.99,0.64,0.56,0.11,0.57,0.46,0.34,0.29,0.67,0.57,0.96,0.42,0.42,0.24,0.77,0.9,0.04,0.8,0.98,0.91,0.32,0.44,0.09
Lead Data Consultant - Supplier Financing m/f/d,69000,d,U15,0,0.44,0.47,0.98,0.45,0.99,0.05,0.76,0.24,0.39,0.05,0.72,0.08,0.95,0.45,0.84,0.13,NaN,0.15,0.6,0.23,0.46,0.57,0.04,NaN,0.13,0.71,0.59,0.76,0.55,0.71,0.28,0.31,0.4,0.39,0.62,0.79,0.98,0.48,0.29,0.69,0.64,0.45,0.96,0.15,0.63,0.69,0.58,0.77,0.7,0.82,0.51,0.61,0.57,0.4,0.45,0.89
 Brand Marketing Manager - (Remote),NA,f,U16,0,0.95,0.84,0.91,0.58,0.44,0.04,0.25,0.84,0.54,0.46,0.4,0.63,0.96,0.41,0.22,0.75,0.33,0.49,0.62,0.26,0.06,0.78,0.96,0.71,0.26,0.82,0.62,0.27,0.56,0.01,0.05,0.53,0.91,0.46,0.15,0.36,0.89,0.06,0.95,0.68,0.25,0.85,0.57,0.05,0.45,0.01,0.33,0.7,0.06,0.36,0.98,0.2,0.96,0.18,0.5,0.89
 SEO Marketing Manager m/f/d,NA,e,U17,0,0.75,0.14,0.71,0.63,0.03,0.8,0.54,0.94,0.19,0.83,0.54,0.03,0.52,0.01,0.02,0.48,0.35,0.75,0.92,0.97,0.59,0.02,0.16,NaN,0.26,0.46,0.57,0.9,0.34,0.51,0.42,0.36,0.77,0.41,0.58,0.88,0.01,0.53,0.07,0.97,0.98,0.28,0.81,0.76,0.62,0.82,0.05,0.81,0.4,0.97,0.64,0.98,0.51,0.44,0.08,0.29
Senior Marketing Manager - New Ventures ,55000,g,U18,1,0.6,0.21,0.46,0.3,0.47,0.81,0.4,0.68,0.26,0.52,0.09,0.09,0.24,0.16,NaN,0.88,0.22,0.96,0.52,0.53,0.81,0.33,0.96,NaN,0.55,0.79,0.98,0.78,0.93,0.6,0.16,0.11,NaN,0.5,0.55,0.35,0.33,0.57,0.44,0.16,0.6,0.99,0.43,0.64,0.3,0.26,0.1,0.7,0.21,0.07,0.5,0.98,0.27,0.45,0.2,0.12
Senior Growth Marketing Manager - (Remote),NA,e,U19,0,0.5,0.23,0.48,0.49,0.86,0.78,0.34,0.9,0.62,0.35,0.54,0.32,0.93,0.72,0.6,0.03,0,NaN,0.97,0.89,0.82,0.5,0.83,NaN,0.49,0.08,0.58,0.03,0.97,0.73,0.55,0.51,0.64,0.71,0.92,0.09,0.9,0.76,0.03,0.51,0.23,0.83,0.16,0.22,0.94,0.05,0.95,0.49,0.29,0.54,0.14,0.06,0.69,0.8,0.2,0.41
Junior Operations Manager - New Ventures,NA,g,U20,1,0.33,0.65,0.04,0.31,0.91,0.31,0.2,0.17,0.26,0.99,0.19,0.08,0.38,0.71,0.14,0.1,0.05,0.56,0.79,0.38,0.93,0.73,0.23,0.44,0.67,NaN,0.54,0.05,0.61,0.99,0.62,0.92,0.06,0.28,0.84,0.6,0.92,0.09,0.96,0.57,0.65,0.6,0.82,0.03,0.51,0.99,0.94,0.23,0.78,0.38,0.21,0.36,0.23,0.75,0.01,0.06
Junior UI Designer - (Remote),NA,d,U21,1,0.88,NaN,0.23,0.31,0.8,0.1,0.68,0.02,0.44,0.94,NaN,0.09,0.91,0.26,0.46,0.28,0.83,NaN,NaN,0.29,0.26,NaN,0.76,0.03,0.23,0.37,0.6,0.24,0.16,0.07,0.28,0.03,0.79,0.46,0.71,0.01,0.49,0.37,0.49,0.62,0.44,0.5,0.11,0.45,0.72,0.66,0.62,0.89,0.21,0.05,0.31,0.4,0.21,0.49,0.06,0.48
Senior AI Researcher - NLP m/f/d,64000,d,U22,1,0.97,0.36,0.24,0.84,0.06,0.38,0.47,0.87,0.95,0.39,0.49,0.18,0.91,0.61,0.11,0.8,0.77,NaN,0.67,0.17,0.94,0.24,0.99,NaN,0.86,0.77,0.97,0.34,0.14,0.33,0.47,0.06,0.71,0,0.5,0.31,0.73,0.41,0.86,0.02,0.48,0.58,0.66,0.1,0.12,0.85,0.14,0.31,0.32,0.55,0.83,0.69,0.77,0.58,0.91,0.09
Junior Marketing Manager - New Ventures ,55000,g,U23,1,0.91,0.35,0.53,0.71,0.38,0.53,0.55,0.43,0.28,0.29,0.01,0.53,0.85,0.61,0.23,0.23,0.83,0.82,0.61,0.6,0.03,0.4,0.34,0.07,0.63,0.78,0.49,0.32,0.38,0.12,0.88,0.42,0.12,0.58,0.75,0.01,0.26,0.96,0.12,0.71,0.35,NaN,0.9,0.94,1,0.79,0.21,0.56,0.97,0.29,0.7,0.4,0.12,0.54,0.99,0.27
Junior Machine Learning Engineer - Supplier Financing,NA,b,U24,1,0.52,0.03,0.24,0.78,0.49,0.83,0.39,0.21,0.14,0.01,1,0.25,0.51,0.03,0.33,0.04,0.18,0.11,0.4,0.74,0.42,0.52,0.24,NaN,0.09,0.16,0.01,0.81,0.48,0.92,0.15,0.87,0.69,0.32,0.22,0.47,NaN,0.1,0.7,0.39,0.76,0.93,0.44,0.14,0.58,0.74,0.41,0.18,0.66,0.2,0.6,0.29,0.98,0.6,0.42,0.61
Lead UI Designer - (Remote),NA,a,U25,1,0.35,0.96,0.29,0.29,0.19,0.55,0.76,0.59,0.64,0.56,0.19,0.37,0.91,0.5,0.33,0.64,0.91,NaN,0.9,0.57,0.48,NaN,0.14,NaN,0.63,0.48,0.63,0.87,0.09,0.13,0.9,0.27,0.84,0.85,0.01,0.42,0.69,0.19,0.63,0.65,NaN,0.41,0.57,0.78,0.04,0.98,0.85,0.64,0.38,0.41,0.45,0.02,0.1,0.84,0.53,0.19
Lead Software Developer - Deep Learning,NA,b,U26,1,0.63,0.81,0.96,0.05,0.57,0.19,0.06,0.6,0.76,0.14,0.44,0.6,0.55,0.09,0.72,0.51,0.42,0.07,0.34,0.43,0.81,0.42,0.55,0.74,0.07,0.7,0.52,0.57,0.36,0.62,0.59,0.37,0.33,0.28,0.2,0.02,0.89,0.52,0.58,0.12,0.6,0.31,0.06,0.02,0.43,0.43,0.1,0.59,0.67,0.84,0.85,0.99,0.77,0.54,0.03,0.11
Senior Data Scientist - Supplier Financing M/F/D,NA,b,U27,1,0.17,0.97,0.42,0.54,0.07,0.34,0.37,0.62,0.7,0.8,0.17,0.89,0.32,0.5,0.38,0.98,0.55,0.56,0.1,0.77,0.85,0.48,0.57,0.78,0.45,0.88,0.51,0.74,0.27,0.2,0.49,0.42,0.36,0.53,NaN,0.5,0.16,0.03,0.79,0.74,0.54,0.87,0.49,0.8,0.75,0.82,0.28,0.6,0.49,0.54,0.06,0.39,0.1,0.42,0.08,0.94
