,job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9,job_title_full_cat
0,Junior Manager Innovation Lab - France (M/F/D),51000.0,g,U1,1.0,0.62,0.02,0.1,0.08,0.42,0.82,0.15,0.45,0.64,0.59,0.37,0.04,0.55,0.32,0.26,0.89,0.98,0.485,0.63,0.1,0.87,0.39,0.37,0.4475,0.85,0.96,0.93,0.24,0.97,0.27,0.17,0.81,0.68,0.96,0.86,0.67,0.31,0.61,0.18,0.29,0.43,0.59,0.9,0.74,0.03,0.21,0.23,0.81,0.95,0.8,0.15,0.71,0.75,0.35,0.34,0.81,55.0
1,Junior Product Manager -  Mobile,70000.0,b,U2,1.0,0.97,0.87,0.5,1.0,0.18,0.61,0.25,0.85,0.35,0.44,0.76,0.84,0.78,0.95,0.53,0.04,0.03,0.49666666666666676,0.95,0.75,0.95,0.93,0.04,0.29,0.55,0.9,0.34,0.7,0.96,0.21,0.84,0.06,0.72,0.19,0.16,0.86,0.32,0.86,0.2,0.93,0.13,0.69,0.76,0.36,0.76,0.75,0.86,0.68,0.32,0.7,0.4,0.56,0.99,0.07,0.1,0.89,67.0
2,Junior Brand Marketing Manager - Mobile (M/F/D),59000.0,g,U3,1.0,0.24,0.55,0.52,0.4,0.64,0.5075000000000001,0.18,0.4,0.86,0.2,0.34,0.56,0.53,0.54,0.43,0.67,0.31,0.4579999999999999,0.1,0.82,0.08,0.23,0.12,0.61,0.1,0.04,0.28,0.38,0.91,0.34,0.94,0.5,0.44375,0.79,0.01,0.98,0.4,0.15,0.9,0.39,0.75,0.66,0.26,0.13,0.71,0.68,0.61,0.49,0.26,0.65,0.76,0.98,0.26,0.51,0.98,0.62,44.0
3, Product Analyst - Pricing & Forecasting (M/F/D),0.0,d,U4,1.0,0.0,0.43,0.25,0.24,0.71,0.21,0.98,0.38,0.72,0.4715789473684211,0.94,0.25,0.86,0.05,0.84,0.8,0.96,0.5660000000000001,0.22,0.63,0.61,0.43,0.45,0.02,0.28,0.82,0.77,0.91,0.02,0.13,0.03,0.81,0.08,0.55,0.64,0.22,0.18,0.14,1.0,0.89,0.2,0.23,0.26,0.2,0.15,0.99,0.41,0.24,0.1,0.19,0.52,0.74,0.23,0.31,0.08,0.3,26.0
4, Online Marketing Manager,64000.0,h,U5,1.0,0.84,0.48,0.76,0.45,0.52,0.81,0.29,0.48,0.55,0.6,0.57,0.42,0.17,0.48,0.42,0.88,0.72,0.5766666666666667,0.02,0.48,0.22,0.41,0.63,0.7033333333333333,0.0,0.69,0.0,0.9,0.61,0.68,0.51,0.16,0.79,0.87,0.49,0.85,0.1,0.6088888888888887,0.85,0.0,0.49,0.14,0.71,0.51,0.3,0.29,0.61,0.77,0.35,0.93,0.72,0.12,0.09,0.58,0.09,0.61,22.0
5, Marketing Analyst - New Ventures ,0.0,g,U6,1.0,0.39,0.62,0.98,0.06,0.68,0.67,0.1,0.67,0.49,0.48,0.71,0.49,0.28,0.15,0.76,0.26,0.25,0.8,0.65,0.13,0.13,0.02,0.87,0.92,0.96,0.64,0.73,0.15,0.25,0.92,0.28,0.78,0.09,0.43,0.4675,0.47,0.59,0.94,0.46,0.9,0.48999999999999994,0.87,0.29,0.28,0.51,0.55,0.64,0.53,0.97,0.14,0.11,0.55,0.12,0.13,0.49,0.48,18.0
6,Junior Manager Innovation Lab - France (M/F/D),0.0,e,U7,0.0,0.7,0.08,0.18,0.09,0.14,0.09,0.43,0.01,0.83,0.35,0.16,0.42,0.5,0.53,0.67,0.02,0.92,,0.17,0.12,0.7,0.43,0.2,0.99,0.03,0.44,0.5033333333333333,0.34,0.01,0.16,0.31,0.63,0.4,0.57,0.56,0.22,0.69,0.53,0.99,0.96,0.97,0.41,0.31,0.65,0.16,0.35,0.95,0.56,0.53,0.27,0.32,0.37,0.61,0.62,0.6,0.61,55.0
7,Lead Growth Hacker - New Ventures ,0.0,c,U8,0.0,0.57,0.64,0.76,0.07,0.06,0.49,0.97,0.13,0.1,0.47,0.28,0.37,0.6,0.52,0.09,0.56,0.61,,0.86,0.73,0.88,0.45,0.26,0.325,0.52,0.52,0.55,0.82,0.85,0.57,0.21,0.37,0.23,0.08,0.67,0.31,0.4,0.68,0.04,0.92,0.21,0.98,0.35,0.59,0.32,0.11,0.24,0.56,0.74,0.47,0.92,0.13,0.305,0.73,0.27,0.39,91.0
8,Senior Sustainability Manager,0.0,d,U9,1.0,0.85,0.79,0.57,0.52,0.64,0.04,0.95,0.81,0.45,0.32,0.02,0.78,0.96,0.55,0.49,0.77,0.34,0.4,0.63,0.58,0.87,0.33,0.07,0.37833333333333335,0.31,0.96,0.94,0.6,0.96,0.36,0.31,0.09,0.34,0.03,0.5562500000000001,0.55,0.72,0.65,0.93,0.63,0.3,0.28,0.39,0.11,0.02,0.12,0.07,0.34,0.26,0.03,0.66,0.25,0.1,0.45,0.45,0.14,154.0
9,Lead Data Analyst - Pricing Team (m/f/d),0.0,f,U10,0.0,0.77,0.63,0.29,0.97,0.26,0.09,0.57,0.4,0.4,0.34,0.5,0.2,0.17,0.28,1.0,0.88,0.03,0.22,1.0,1.0,0.51,0.76,0.02,0.52,0.79,0.98,0.99,0.8,0.12,0.46,0.08,0.76,0.328,0.5,0.64,0.45600000000000007,0.89,0.17,0.35,0.1,0.43,0.35,0.96,0.64,0.03,0.04,0.75,0.36,0.61,0.42,0.73,0.59,0.86,0.24,0.73,0.41,86.0
10,Senior Product Owner - NLP,0.0,g,U11,1.0,0.44,0.65,0.84,0.82,0.81,0.64,0.9,0.77,0.46,0.39,0.27,0.36,0.69,0.22,0.67,0.85,0.75,0.38,0.95,0.41,0.34,0.11,0.43,0.6,0.04,0.5,0.19,0.94,0.3,0.4,0.36,0.28,0.17,0.2,0.93,0.21,0.05,0.74,0.2,0.85,0.5,0.55,0.21,0.57,0.05,0.17,0.23,0.79,0.02,0.25,0.83,0.95,0.1,0.97,0.92,0.27,146.0
11,Lead Backend Engineer - Deep Learning,65000.0,c,U12,0.0,0.5025,0.37,0.29,0.99,0.0,0.67,0.42,0.01,0.7,0.9,0.39,0.86,0.07,0.6,0.39,0.97,0.42,,0.7,0.11,0.04,0.89,0.95,0.17,0.2,0.84,0.22,0.35,0.39,0.81,0.68,0.38,0.01,0.31,0.19,0.11,0.09,0.95,0.71,0.23,0.59,0.9,0.96,0.21,0.23,0.98,0.87,0.25,0.81,0.98,0.69,0.64,0.09,0.53,0.18,0.16,80.0
12,Junior UI Designer - (Remote),0.0,c,U13,1.0,0.87,0.84,0.49,0.42,0.18,0.6,0.35,0.56,0.71,0.92,0.48,0.5250000000000001,0.65,0.7,0.63,0.7,0.35,0.665,0.39,0.31,0.68,0.27,0.66,0.37,0.41,0.04,0.41,0.6,0.13,0.23,0.81,0.76,1.0,0.81,0.41,0.15,0.71,0.96,0.53,0.49,0.35,0.83,0.96,0.2,0.91,0.539,0.15,0.98,0.67,0.81,0.3,0.53,0.84,0.79,0.06,0.31,77.0
13, Marketing Manager - (Remote) m/f/d,0.0,f,U14,1.0,0.25,0.5,0.31,0.5,0.22,0.79,0.07,0.3,0.12,0.91,0.64,0.99,0.32,0.51,0.61,0.37,0.66,0.53,0.06,0.17,0.48714285714285716,0.65,0.86,0.09000000000000001,0.89,0.21,0.03,0.24,0.56,0.45,0.43,0.46,0.19,0.99,0.64,0.56,0.11,0.57,0.46,0.34,0.29,0.67,0.57,0.96,0.42,0.42,0.24,0.77,0.9,0.04,0.8,0.98,0.91,0.32,0.44,0.09,19.0
